region_id	chr	start_grch37	end_grch37	start_grch38	end_grch38	span_bp_grch38	span_mb_grch38	region_class	radius_bp	path_a_class	est_cluster_hours_per_ancestry	liftover_status
m2_region_00001	1	0	13833428	10000	13506933	13496933	13.497	medium	13996933	A.2	1.5	multi-segment
m2_region_00002	1	14259476	60647365	13932981	60181693	46248712	46.249	large	46748712	A.3	8.0	primary
m2_region_00003	1	60675857	64483712	60210185	64018040	3807855	3.808	small	4307855	A.1	0.5	primary
m2_region_00004	1	64894160	68876484	64428477	68410801	3982324	3.982	small	4482324	A.1	0.5	primary
m2_region_00005	1	70003226	103917640	69537543	103375018	33837475	33.837	large	34337475	A.3	8.0	primary
m2_region_00006	1	104588516	122246759	104045894	121742961	17697067	17.697	medium	18197067	A.2	1.5	multi-segment
m2_region_00007	1	144397947	148002600	145275408	148280494	3005086	3.005	small	3505086	A.1	0.5	multi-segment
m2_region_00008	1	148904474	176201727	143448510	176232591	32784081	32.784	large	33284081	A.3	8.0	primary
m2_region_00009	1	176383443	187779535	176414307	187810404	11396097	11.396	medium	11896097	A.2	1.5	primary
m2_region_00010	1	188022973	193671394	188053842	193702264	5648422	5.648	medium	6148422	A.2	1.5	primary
m2_region_00011	1	194047936	215747718	194078806	215574375	21495569	21.496	medium	21995569	A.2	1.5	primary
m2_region_00012	1	216270219	232178750	216096877	232043004	15946127	15.946	medium	16446127	A.2	1.5	primary
m2_region_00013	1	233469031	241532375	233333285	241369075	8035790	8.036	medium	8535790	A.2	1.5	primary
m2_region_00014	1	241697031	250174682	241533731	248945483	7411752	7.412	medium	7911752	A.2	1.5	multi-segment
m2_region_00015	10	0	10811702	14060	10769739	10755679	10.756	medium	11255679	A.2	1.5	multi-segment
m2_region_00016	10	11227580	37695156	11185617	37406228	26220611	26.221	large	26720611	A.3	8.0	primary
m2_region_00017	10	38097912	40097912	37808984	38861781	1052797	1.053	small	1552797	A.1	0.5	multi-segment
m2_region_00018	10	42264591	47100529	41884616	46449233	4564617	4.565	small	5064617	A.1	0.5	multi-segment
m2_region_00019	10	47631327	57673719	46260091	55913959	9653868	9.654	medium	10153868	A.2	1.5	primary
m2_region_00020	10	58387880	68772068	56628120	67012310	10384190	10.384	medium	10884190	A.2	1.5	primary
m2_region_00021	10	68902549	85279949	67142791	83520193	16377402	16.377	medium	16877402	A.2	1.5	primary
m2_region_00022	10	85439849	110470411	83680093	108710653	25030560	25.031	large	25530560	A.3	8.0	primary
m2_region_00023	10	110861054	132431682	109101296	130633418	21532122	21.532	medium	22032122	A.2	1.5	primary
m2_region_00024	10	132729749	136440683	130931486	133787358	2855872	2.856	small	3355872	A.1	0.5	multi-segment
m2_region_00025	11	0	19808557	60000	19787011	19727011	19.727	medium	20227011	A.2	1.5	multi-segment
m2_region_00026	11	19959394	23501446	19937848	23479900	3542052	3.542	small	4042052	A.1	0.5	primary
m2_region_00027	11	23665330	40523589	23643784	40502039	16858255	16.858	medium	17358255	A.2	1.5	primary
m2_region_00028	11	40849393	52518261	40827843	54526019	13698176	13.698	medium	14198176	A.2	1.5	multi-segment
m2_region_00029	11	53850165	80313625	54927691	80602581	25674890	25.675	large	26174890	A.3	8.0	multi-segment
m2_region_00030	11	81241487	83443417	81530445	83732374	2201929	2.202	small	2701929	A.1	0.5	primary
m2_region_00031	11	83814393	86448905	84103350	86737863	2634513	2.635	small	3134513	A.1	0.5	primary
m2_region_00032	11	86459879	91494720	86748837	91761554	5012717	5.013	medium	5512717	A.2	1.5	primary
m2_region_00033	11	91652638	94221105	91919472	94487939	2568467	2.568	small	3068467	A.1	0.5	primary
m2_region_00034	11	94299962	104871404	94566796	105000677	10433881	10.434	medium	10933881	A.2	1.5	primary
m2_region_00035	11	105492521	108347234	105621794	108476507	2854713	2.855	small	3354713	A.1	0.5	primary
